OnlineBackup,MonthlyCharges,PhoneService
No internet service,20.15,Yes
Yes,95.25,Yes
Yes,50.3,Yes
No,80.15,Yes
Yes,51.25,Yes
Yes,89.6,Yes
No,95.2,Yes
No,94.8,Yes
No,80.25,Yes
Yes,76.1,Yes
Yes,110.15,Yes
Yes,115.55,Yes
No internet service,24.65,Yes
Yes,53.6,No
No internet service,19.45,Yes
Yes,88.2,Yes
No,101.15,Yes
Yes,56.8,Yes
Yes,99.4,Yes
No internet service,20.1,Yes
No,60.7,No
No internet service,20.95,Yes
Yes,114.85,Yes
No internet service,19.25,Yes
No,62.8,Yes
No,105.5,Yes
No internet service,19.85,Yes
No,89.5,Yes
No,74.1,Yes
Yes,107.5,Yes
No internet service,19.55,Yes
Yes,68.8,Yes
Yes,84.45,Yes
No,75.0,Yes
Yes,84.5,Yes
Yes,111.2,Yes
No,44.75,Yes
No,80.6,Yes
No,80.7,Yes
No,75.6,Yes
Yes,57.6,No
No,44.05,Yes
Yes,110.6,Yes
Yes,58.2,Yes
No,81.0,Yes
No internet service,19.7,Yes
No,85.6,Yes
No,59.55,Yes
Yes,115.55,Yes
Yes,75.55,Yes
No,86.6,Yes
No,85.2,Yes
No,97.65,Yes
Yes,45.1,No
No,70.95,Yes
Yes,109.55,Yes
Yes,89.55,Yes
No internet service,20.9,Yes
No internet service,19.95,Yes
No internet service,24.6,Yes
No,66.7,Yes
No internet service,19.45,Yes
Yes,94.8,Yes
Yes,65.85,Yes
No internet service,19.95,Yes
No internet service,24.65,Yes
No internet service,20.35,Yes
No,69.25,Yes
Yes,51.25,No
No,99.5,Yes
No,54.25,Yes
No internet service,19.4,Yes
No,56.25,Yes
No,25.15,No
No internet service,23.95,Yes
No,35.4,No
No,25.2,No
No,45.0,Yes
Yes,75.35,Yes
No internet service,20.4,Yes
No internet service,20.15,Yes
Yes,105.0,Yes
Yes,56.05,No
No,54.7,Yes
No internet service,20.0,Yes
No,73.05,Yes
No internet service,20.5,Yes
No,100.75,Yes
No,87.25,Yes
No internet service,19.95,Yes
No,79.95,Yes
Yes,49.65,No
Yes,65.65,Yes
No internet service,20.45,Yes
No,60.95,No
No internet service,20.35,Yes
No,88.35,Yes
No internet service,19.5,Yes
No,75.2,Yes
Yes,111.45,Yes
No,70.15,Yes
No,94.75,Yes
No,95.05,Yes
Yes,78.45,Yes
No,70.2,Yes
Yes,92.0,Yes
Yes,85.5,Yes
Yes,41.05,No
No,85.6,Yes
Yes,82.15,Yes
No,84.4,Yes
Yes,60.9,Yes
No internet service,20.25,Yes
No,79.2,Yes
Yes,95.3,Yes
No internet service,19.85,Yes
Yes,84.35,Yes
No internet service,19.85,Yes
No,70.0,Yes
Yes,82.3,Yes
Yes,66.8,Yes
Yes,44.6,No
Yes,98.45,Yes
No,70.7,Yes
No internet service,24.95,Yes
No,49.95,Yes
No,69.25,Yes
No,102.5,Yes
Yes,86.55,Yes
No internet service,24.3,Yes
No,58.35,Yes
Yes,94.25,Yes
Yes,68.75,Yes
Yes,85.8,Yes
No internet service,20.1,Yes
No internet service,20.35,Yes
Yes,110.8,Yes
No,73.0,Yes
No,100.05,Yes
No,82.85,Yes
No,84.35,Yes
No internet service,19.55,Yes
No internet service,19.95,Yes
Yes,99.8,Yes
No,35.0,No
No,66.25,Yes
No internet service,23.3,Yes
No,76.0,Yes
No internet service,25.3,Yes
No,44.55,No
No,104.1,Yes
No,92.55,Yes
No,93.85,Yes
Yes,101.45,Yes
No,84.3,Yes
Yes,94.55,Yes
No,95.5,Yes
Yes,100.3,Yes
No,55.5,No
Yes,49.85,Yes
Yes,89.55,Yes
No internet service,19.15,Yes
Yes,99.8,Yes
No,84.4,Yes
Yes,113.05,Yes
No,101.1,Yes
No internet service,19.95,Yes
No,74.15,Yes
Yes,92.0,Yes
No,73.85,Yes
No,50.45,Yes
No internet service,24.45,Yes
No internet service,24.8,Yes
No,64.85,Yes
No internet service,20.75,Yes
Yes,68.95,Yes
No,99.95,Yes
Yes,109.4,Yes
No,91.4,Yes
No,49.0,Yes
No,50.25,Yes
No,75.55,Yes
No internet service,19.9,Yes
Yes,97.8,Yes
No,100.3,Yes
No,55.8,Yes
Yes,111.15,Yes
No,98.55,Yes
No,50.05,Yes
No,80.8,Yes
No internet service,20.85,Yes
No internet service,19.5,Yes
No internet service,19.35,Yes
No,69.5,Yes
No,48.8,No
Yes,94.5,Yes
No internet service,20.65,Yes
Yes,106.05,Yes
Yes,100.0,Yes
No,108.3,Yes
No internet service,20.55,Yes
Yes,99.65,Yes
Yes,85.3,Yes
No,95.9,Yes
No internet service,20.0,Yes
No,70.4,Yes
No,64.95,Yes
Yes,74.6,Yes
No,49.2,Yes
No,73.75,Yes
Yes,92.3,Yes
No,98.8,Yes
No internet service,19.2,Yes
No,88.65,Yes
No,74.4,Yes
No,98.75,Yes
Yes,95.95,Yes
Yes,105.4,Yes
No internet service,20.25,Yes
Yes,106.0,Yes
Yes,104.7,Yes
No,49.05,No
No,35.55,No
Yes,65.1,No
No,96.85,Yes
Yes,69.75,Yes
Yes,99.2,Yes
No,96.7,Yes
Yes,55.05,Yes
Yes,106.8,Yes
No,51.25,Yes
Yes,57.75,Yes
Yes,70.85,Yes
No internet service,19.55,Yes
Yes,88.2,Yes
No,79.5,Yes
No internet service,19.75,Yes
Yes,98.15,Yes
No internet service,20.25,Yes
Yes,79.15,Yes
No,75.65,Yes
Yes,94.25,Yes
No,40.2,No
No internet service,19.95,Yes
No,55.35,Yes
No,102.15,Yes
No,71.1,Yes
No,74.7,Yes
No,54.1,No
No internet service,19.65,Yes
Yes,88.45,Yes
No,76.65,Yes
Yes,80.4,Yes
No internet service,19.25,Yes
No,84.8,Yes
No,25.8,No
No internet service,19.5,Yes
No,68.6,Yes
No,92.6,Yes
No,100.55,Yes
No internet service,20.55,Yes
Yes,42.6,No
No internet service,19.6,Yes
Yes,67.45,Yes
Yes,68.85,Yes
No,43.55,Yes
Yes,109.85,Yes
No internet service,20.65,Yes
Yes,95.4,Yes
No internet service,21.0,Yes
No,56.2,Yes
No internet service,18.4,Yes
No,90.0,Yes
No internet service,25.75,Yes
No internet service,19.6,Yes
No,75.35,Yes
No internet service,19.8,Yes
Yes,64.2,Yes
Yes,75.75,Yes
Yes,78.95,Yes
Yes,100.85,Yes
No,50.3,Yes
Yes,80.3,Yes
No internet service,19.85,Yes
No internet service,21.1,Yes
No,69.95,Yes
No,50.0,Yes
Yes,104.75,Yes
No internet service,19.85,Yes
Yes,107.5,Yes
No,85.9,Yes
No,45.85,Yes
No,80.8,Yes
No internet service,25.25,Yes
Yes,80.55,Yes
No,81.5,Yes
No internet service,20.9,Yes
Yes,106.1,Yes
Yes,91.7,Yes
Yes,67.25,Yes
Yes,95.6,Yes
No internet service,20.35,Yes
No,45.05,No
No,74.95,Yes
No,34.65,No
No,69.35,Yes
No,95.35,Yes
Yes,81.55,Yes
Yes,75.4,Yes
No,67.8,Yes
Yes,111.4,Yes
No,46.3,Yes
No internet service,20.4,Yes
No internet service,20.05,Yes
No,45.0,Yes
Yes,96.1,Yes
No internet service,19.65,Yes
Yes,99.5,Yes
Yes,60.65,Yes
No,98.6,Yes
No,59.5,Yes
No,80.45,Yes
Yes,71.7,Yes
Yes,36.0,No
No,65.2,Yes
No,48.95,Yes
Yes,53.5,No
No,80.45,Yes
No,109.05,Yes
No internet service,26.3,Yes
Yes,106.8,Yes
Yes,64.95,Yes
No internet service,19.35,Yes
No internet service,21.1,Yes
No,77.95,Yes
No internet service,18.85,Yes
No internet service,26.0,Yes
Yes,74.7,Yes
No,70.35,Yes
Yes,96.9,Yes
No internet service,19.55,Yes
Yes,80.4,Yes
No,88.8,Yes
Yes,94.65,Yes
No,90.25,Yes
No,64.65,Yes
Yes,95.75,Yes
No internet service,19.55,Yes
No,104.1,Yes
Yes,89.05,Yes
No internet service,20.1,Yes
No,111.55,Yes
Yes,60.5,Yes
Yes,90.95,Yes
Yes,87.4,Yes
No internet service,19.7,Yes
Yes,50.95,No
No internet service,20.05,Yes
No internet service,19.4,Yes
No,59.45,Yes
Yes,94.75,Yes
Yes,81.5,Yes
No,29.05,No
No,86.45,Yes
Yes,70.6,Yes
Yes,97.2,Yes
Yes,98.25,Yes
No,75.75,Yes
No,59.2,Yes
Yes,75.9,Yes
Yes,90.05,Yes
Yes,70.95,Yes
Yes,102.6,Yes
No,85.35,Yes
Yes,106.1,Yes
No,43.8,Yes
Yes,59.0,No
No,69.95,Yes
No internet service,24.35,Yes
No,29.45,No
Yes,84.4,Yes
No,45.05,Yes
No internet service,20.65,Yes
Yes,87.1,Yes
No internet service,19.85,Yes
No,90.35,Yes
Yes,109.8,Yes
No,84.65,Yes
Yes,65.5,Yes
No,79.5,Yes
No,80.95,Yes
Yes,56.15,Yes
No,85.8,Yes
No,79.1,Yes
No,34.4,No
No internet service,20.75,Yes
No internet service,18.8,Yes
No,44.3,Yes
Yes,90.8,Yes
No internet service,25.6,Yes
No,105.95,Yes
Yes,70.8,Yes
No internet service,25.4,Yes
Yes,108.8,Yes
No,69.75,Yes
No,94.65,Yes
No,96.05,Yes
No,76.85,Yes
No internet service,20.25,Yes
No internet service,24.8,Yes
Yes,115.65,Yes
No,74.6,Yes
No,50.15,Yes
Yes,103.15,Yes
Yes,72.1,Yes
Yes,113.6,Yes
No internet service,25.1,Yes
No,78.9,Yes
No,80.15,Yes
No internet service,25.4,Yes
Yes,105.4,Yes
No,45.75,Yes
No internet service,24.45,Yes
No internet service,25.0,Yes
Yes,85.25,Yes
No internet service,19.6,Yes
No,50.15,Yes
No,70.55,Yes
Yes,60.05,Yes
No internet service,26.4,Yes
No internet service,20.15,Yes
Yes,58.85,No
Yes,97.55,Yes
No internet service,19.65,Yes
No,25.25,No
Yes,114.45,Yes
No,34.7,No
Yes,70.7,Yes
No,85.3,Yes
Yes,75.55,Yes
Yes,84.8,Yes
No internet service,20.65,Yes
No internet service,20.45,Yes
Yes,102.45,Yes
No,104.4,Yes
Yes,35.65,No
No,99.75,Yes
Yes,90.45,Yes
Yes,97.65,Yes
No,73.85,Yes
No,74.4,Yes
No,69.1,Yes
No,82.75,Yes
No internet service,24.4,Yes
Yes,55.25,Yes
Yes,61.35,Yes
Yes,76.75,Yes
No internet service,19.4,Yes
No,54.75,Yes
No internet service,19.7,Yes
No internet service,19.9,Yes
Yes,107.95,Yes
Yes,83.8,Yes
No,74.25,Yes
Yes,56.4,No
No internet service,20.1,Yes
No,94.9,Yes
No,94.2,Yes
No,49.9,Yes
Yes,71.05,Yes
No,81.65,Yes
Yes,89.45,Yes
No,59.85,Yes
No,69.6,Yes
Yes,99.0,Yes
No internet service,19.05,Yes
No,45.4,No
Yes,114.45,Yes
No internet service,19.5,Yes
No,44.25,Yes
Yes,90.55,Yes
No,69.9,Yes
No internet service,20.4,Yes
Yes,71.4,Yes
Yes,87.15,Yes
No internet service,24.85,Yes
Yes,104.45,Yes
No internet service,19.8,Yes
Yes,116.45,Yes
No,84.75,Yes
No internet service,20.05,Yes
Yes,110.75,Yes
No,89.7,Yes
No,89.95,Yes
No,48.7,Yes
Yes,96.6,Yes
Yes,74.3,Yes
Yes,54.3,Yes
No,74.85,Yes
Yes,79.95,Yes
No internet service,20.05,Yes
No internet service,19.4,Yes
No,54.9,Yes
No internet service,24.45,Yes
Yes,89.65,Yes
No,45.4,Yes
No,75.7,Yes
Yes,110.65,Yes
No internet service,20.55,Yes
Yes,115.15,Yes
No,58.55,Yes
Yes,93.25,Yes
Yes,113.2,Yes
No,90.5,Yes
No,79.0,Yes
No internet service,19.35,Yes
No,48.75,Yes
No,109.05,Yes
No internet service,25.0,Yes
No,54.9,Yes
No internet service,24.75,Yes
Yes,91.15,Yes
No internet service,20.15,Yes
Yes,104.35,Yes
No,66.05,Yes
No,71.65,Yes
No internet service,20.35,Yes
Yes,92.2,Yes
Yes,84.25,Yes
No,105.2,Yes
No internet service,19.6,Yes
Yes,30.4,No
No,78.1,Yes
Yes,61.5,Yes
Yes,69.4,Yes
No internet service,24.75,Yes
Yes,91.05,Yes
No,89.65,Yes
No,73.65,Yes
No internet service,19.4,Yes
No internet service,26.2,Yes
No,98.7,Yes
No,43.85,Yes
No,69.7,Yes
Yes,38.55,No
Yes,53.1,No
No internet service,20.65,Yes
Yes,64.45,Yes
No internet service,25.1,Yes
No,76.35,Yes
Yes,79.15,Yes
No,85.0,Yes
Yes,95.15,Yes
No,79.35,Yes
No,96.65,Yes
No,75.5,Yes
No internet service,19.7,Yes
No internet service,20.5,Yes
No internet service,19.2,Yes
Yes,98.35,Yes
No,74.35,Yes
Yes,51.35,No
No,45.65,Yes
No,85.3,Yes
No,86.55,Yes
Yes,73.85,Yes
No internet service,20.3,Yes
Yes,54.2,Yes
Yes,90.65,Yes
No,50.9,No
No internet service,25.05,Yes
No,74.85,Yes
No internet service,20.5,Yes
Yes,63.55,Yes
No,44.85,No
No,47.95,Yes
No,45.1,Yes
No,45.0,Yes
No,96.0,Yes
No internet service,20.05,Yes
Yes,90.05,Yes
No internet service,25.3,Yes
No,108.65,Yes
No internet service,24.3,Yes
No,75.95,Yes
No internet service,19.7,Yes
Yes,66.4,Yes
Yes,35.75,No
No internet service,18.8,Yes
No internet service,19.4,Yes
No internet service,19.3,Yes
No,45.55,Yes
Yes,67.45,Yes
No,35.1,No
No,46.2,Yes
No,45.15,Yes
Yes,43.3,No
No internet service,20.1,Yes
Yes,57.15,Yes
No,58.9,Yes
No,73.2,Yes
Yes,85.35,Yes
No internet service,19.45,Yes
No,45.95,Yes
Yes,50.5,No
No internet service,25.1,Yes
No,60.7,Yes
Yes,99.0,Yes
No,104.4,Yes
Yes,83.75,Yes
No,44.05,Yes
No internet service,24.1,Yes
No,45.55,Yes
Yes,93.8,Yes
No internet service,19.7,Yes
Yes,70.65,Yes
Yes,86.45,Yes
Yes,114.1,Yes
No,95.2,Yes
Yes,88.55,Yes
No internet service,20.75,Yes
No,70.05,Yes
No,86.0,Yes
Yes,44.65,No
No,60.2,Yes
Yes,100.5,Yes
Yes,55.45,Yes
Yes,70.3,Yes
No,60.4,Yes
No,72.65,Yes
Yes,55.8,Yes
Yes,31.1,No
No internet service,21.0,Yes
No,45.1,Yes
Yes,50.95,No
Yes,69.1,Yes
No,43.95,No
Yes,86.5,Yes
Yes,69.95,Yes
Yes,50.4,Yes
No,78.95,Yes
Yes,90.95,Yes
No internet service,19.9,Yes
No internet service,20.15,Yes
Yes,90.6,Yes
No,92.0,Yes
Yes,94.45,Yes
No internet service,24.85,Yes
Yes,36.0,No
Yes,78.5,Yes
No internet service,19.95,Yes
No internet service,20.65,Yes
Yes,30.5,No
Yes,106.1,Yes
No internet service,20.5,Yes
Yes,95.5,Yes
No,64.6,Yes
No,51.1,Yes
Yes,84.8,Yes
Yes,89.1,Yes
No,54.95,Yes
No,50.9,Yes
No internet service,20.45,Yes
Yes,85.95,Yes
No,60.35,Yes
No internet service,19.8,Yes
No,85.35,Yes
No,72.1,Yes
No,99.8,Yes
No,107.35,Yes
No internet service,19.55,Yes
No,81.05,Yes
No internet service,20.5,Yes
Yes,111.8,Yes
No internet service,20.2,Yes
No internet service,19.7,Yes
Yes,79.1,Yes
No internet service,19.85,Yes
Yes,60.5,Yes
No internet service,19.55,Yes
No internet service,20.9,Yes
No internet service,21.05,Yes
Yes,71.5,Yes
No,54.65,Yes
No internet service,19.2,Yes
No,49.8,Yes
No,25.5,No
No internet service,20.5,Yes
No,90.4,Yes
Yes,90.25,Yes
No,80.75,Yes
No,104.6,Yes
Yes,91.85,Yes
No,50.2,Yes
No,95.5,Yes
Yes,75.35,Yes
No,75.45,Yes
No,95.4,Yes
Yes,101.3,Yes
No,53.1,Yes
Yes,84.85,Yes
Yes,34.25,No
Yes,88.6,Yes
Yes,60.15,Yes
No,99.95,Yes
No,70.7,Yes
Yes,54.8,Yes
No,49.55,Yes
Yes,54.8,Yes
Yes,78.6,Yes
Yes,100.3,Yes
No,53.6,No
No,81.1,Yes
No internet service,19.35,Yes
No,85.6,Yes
No,80.8,Yes
No,74.95,Yes
No internet service,19.6,Yes
No,93.55,Yes
Yes,90.7,Yes
Yes,69.75,Yes
No internet service,20.0,Yes
Yes,95.25,Yes
No,102.1,Yes
No internet service,19.95,Yes
No,80.85,Yes
Yes,90.9,Yes
Yes,29.2,No
Yes,93.3,Yes
Yes,89.15,Yes
Yes,108.85,Yes
No,46.35,No
No,84.75,Yes
Yes,78.75,Yes
Yes,83.55,Yes
No,45.7,Yes
No internet service,19.6,Yes
No,69.95,Yes
No,67.85,Yes
No,105.65,Yes
No,44.6,No
No,74.95,Yes
No,75.5,Yes
No internet service,20.15,Yes
No,45.2,No
No,95.25,Yes
No,89.85,Yes
Yes,100.45,Yes
No,47.15,Yes
No,80.2,Yes
No,87.1,Yes
Yes,79.25,Yes
No,75.9,Yes
No,85.7,Yes
Yes,98.75,Yes
No internet service,20.1,Yes
Yes,61.8,Yes
No,49.9,Yes
No,86.45,Yes
No internet service,20.4,Yes
No,45.3,Yes
Yes,104.1,Yes
Yes,75.4,Yes
Yes,108.15,Yes
Yes,86.25,Yes
Yes,81.0,Yes
No,95.7,Yes
Yes,116.85,Yes
Yes,105.75,Yes
No internet service,20.15,Yes
No internet service,19.6,Yes
Yes,90.6,Yes
Yes,60.95,Yes
No,25.05,No
No,88.15,Yes
No internet service,20.2,Yes
Yes,60.3,Yes
Yes,63.95,Yes
No,74.3,Yes
No,70.6,Yes
No,90.8,Yes
Yes,79.35,Yes
Yes,90.55,Yes
No internet service,19.45,Yes
Yes,64.45,Yes
No,69.65,Yes
No internet service,19.5,Yes
Yes,110.5,Yes
No,24.7,No
No,77.4,Yes
No,96.8,Yes
Yes,85.4,Yes
Yes,47.6,No
No internet service,19.4,Yes
No,103.85,Yes
Yes,83.35,Yes
No,49.4,Yes
No,108.45,Yes
Yes,81.0,Yes
No,79.2,Yes
Yes,86.65,Yes
Yes,92.95,Yes
Yes,90.35,Yes
No,48.7,Yes
No internet service,25.15,Yes
No,76.4,Yes
No internet service,19.55,Yes
No,85.35,Yes
No internet service,24.8,Yes
Yes,103.15,Yes
Yes,100.75,Yes
No,95.6,Yes
Yes,59.75,Yes
Yes,94.1,Yes
No internet service,19.35,Yes
No internet service,19.9,Yes
Yes,108.15,Yes
No,101.05,Yes
No,59.1,Yes
No,71.35,Yes
Yes,55.85,Yes
Yes,106.05,Yes
Yes,84.1,Yes
No,75.3,Yes
No internet service,24.7,Yes
No internet service,20.15,Yes
No,69.75,Yes
No,93.2,Yes
No,80.85,Yes
Yes,33.65,No
No,55.8,Yes
Yes,39.7,No
No,29.5,No
No internet service,20.15,Yes
Yes,79.55,Yes
No internet service,24.8,Yes
No internet service,19.65,Yes
No,79.95,Yes
No internet service,19.3,Yes
No,94.05,Yes
No,90.75,Yes
No,78.85,Yes
No,99.5,Yes
No,99.2,Yes
No,80.55,Yes
No,70.2,Yes
No,85.2,Yes
No,75.25,Yes
No,59.45,Yes
Yes,93.35,Yes
No,44.95,Yes
No internet service,26.1,Yes
No internet service,20.2,Yes
No internet service,21.25,Yes
No,59.4,Yes
Yes,95.0,Yes
Yes,61.9,Yes
Yes,118.65,Yes
No,54.35,Yes
Yes,64.45,No
No,80.15,Yes
No internet service,20.2,Yes
No internet service,21.0,Yes
No internet service,20.45,Yes
No,75.85,Yes
Yes,80.45,Yes
No,24.95,No
No,75.5,Yes
No,44.45,Yes
Yes,42.35,No
Yes,74.55,Yes
No,75.3,Yes
Yes,94.8,Yes
No,48.15,No
No internet service,19.65,Yes
No,70.55,Yes
No internet service,20.15,Yes
Yes,106.6,Yes
Yes,91.0,Yes
No internet service,25.4,Yes
No,69.95,Yes
No,66.85,Yes
No,86.15,Yes
No internet service,20.15,Yes
No,64.85,Yes
No,74.85,Yes
No,50.5,Yes
No,72.9,Yes
Yes,115.05,Yes
No internet service,19.0,Yes
No internet service,19.55,Yes
No,101.1,Yes
No,84.1,Yes
No internet service,24.15,Yes
No,50.1,Yes
No,74.6,Yes
No internet service,19.75,Yes
No,85.0,Yes
No,80.55,Yes
Yes,106.8,Yes
No,84.5,Yes
No internet service,25.05,Yes
Yes,83.7,Yes
No,75.8,Yes
Yes,96.6,Yes
No,98.5,Yes
Yes,101.1,Yes
No internet service,20.2,Yes
Yes,94.05,Yes
No,95.25,Yes
No,74.4,Yes
No,81.0,Yes
No,60.25,Yes
No,60.85,Yes
No,43.95,Yes
No,86.05,Yes
No internet service,20.25,Yes
No,85.15,Yes
No internet service,19.4,Yes
Yes,102.65,Yes
No internet service,19.9,Yes
No internet service,19.55,Yes
Yes,95.5,Yes
Yes,84.15,Yes
No,103.2,Yes
No,50.2,Yes
No,88.55,Yes
No,54.75,Yes
No internet service,19.95,Yes
Yes,116.25,Yes
No,31.2,No
No internet service,24.45,Yes
Yes,84.2,Yes
No,91.3,Yes
Yes,85.65,Yes
No internet service,21.2,Yes
No,79.5,Yes
No internet service,25.55,Yes
No internet service,20.2,Yes
No,63.85,Yes
No,61.95,Yes
No internet service,25.75,Yes
Yes,58.2,Yes
Yes,85.85,Yes
No,70.1,Yes
Yes,104.9,Yes
Yes,111.3,Yes
Yes,99.85,Yes
Yes,95.25,Yes
No,86.25,Yes
No,100.8,Yes
No internet service,19.55,Yes
No,104.0,Yes
No,104.4,Yes
No internet service,19.5,Yes
No internet service,25.25,Yes
Yes,86.3,Yes
No,49.85,No
No,108.95,Yes
Yes,89.9,Yes
No,82.0,Yes
No,89.95,Yes
Yes,79.35,Yes
Yes,64.05,Yes
No,101.15,Yes
Yes,89.95,Yes
Yes,76.45,Yes
Yes,39.1,No
No,34.6,No
No internet service,19.55,Yes
Yes,104.45,Yes
No,70.5,Yes
No internet service,20.35,Yes
No,70.0,Yes
No internet service,19.45,Yes
Yes,69.9,Yes
Yes,59.7,Yes
Yes,78.35,Yes
No,71.45,Yes
Yes,45.85,No
No,95.85,Yes
No,35.7,No
Yes,89.55,Yes
No internet service,24.95,Yes
No internet service,24.85,Yes
Yes,100.8,Yes
Yes,64.4,Yes
No,105.35,Yes
No,102.45,Yes
No internet service,19.65,Yes
No,54.45,Yes
No,70.5,Yes
No internet service,20.1,Yes
No,69.35,Yes
No internet service,19.8,Yes
Yes,74.4,Yes
Yes,93.05,Yes
No,51.2,Yes
Yes,65.6,Yes
No,80.55,Yes
No,52.7,Yes
No internet service,20.85,Yes
No,80.1,Yes
No,52.15,Yes
No,80.2,Yes
Yes,98.15,Yes
Yes,114.95,Yes
Yes,112.95,Yes
No,104.45,Yes
Yes,113.65,Yes
No internet service,20.6,Yes
No,70.9,Yes
No,86.85,Yes
No,91.55,Yes
No,49.85,Yes
No internet service,19.8,Yes
No,99.85,Yes
No,74.5,Yes
No,104.15,Yes
Yes,109.15,Yes
No,48.2,Yes
No internet service,25.1,Yes
No,100.15,Yes
No,65.2,Yes
No,99.5,Yes
No,71.55,Yes
No,55.9,Yes
No,93.9,Yes
No,64.4,Yes
Yes,108.4,Yes
Yes,85.3,Yes
No,107.45,Yes
No,48.75,No
No,85.65,Yes
Yes,91.3,Yes
Yes,85.95,Yes
Yes,106.7,Yes
No,25.15,No
No,45.2,Yes
Yes,110.35,Yes
No,79.2,Yes
Yes,55.5,Yes
Yes,103.25,Yes
No,90.25,Yes
Yes,91.25,Yes
No,47.8,Yes
Yes,100.9,Yes
Yes,97.7,Yes
No,69.85,Yes
Yes,65.6,Yes
Yes,104.65,Yes
No,90.45,Yes
Yes,63.7,No
No,104.5,Yes
No internet service,20.1,Yes
No,104.3,Yes
Yes,93.25,Yes
No,73.45,Yes
No internet service,20.7,Yes
No internet service,25.25,Yes
Yes,100.5,Yes
No,90.6,Yes
Yes,89.4,Yes
Yes,95.45,Yes
No internet service,20.45,Yes
No,98.6,Yes
No,83.05,Yes
No internet service,19.95,Yes
Yes,109.15,Yes
No,85.7,Yes
No,102.05,Yes
Yes,94.7,Yes
Yes,64.4,Yes
No internet service,26.8,Yes
No,66.05,Yes
Yes,65.2,Yes
No,85.05,Yes
No,55.8,Yes
No,70.4,Yes
Yes,104.75,Yes
No internet service,19.95,Yes
No,94.25,Yes
No,45.0,No
Yes,114.9,Yes
No,106.4,Yes
No,46.1,Yes
No,39.7,No
No internet service,20.05,Yes
Yes,95.75,Yes
No internet service,24.4,Yes
No,33.6,No
Yes,90.45,Yes
No,84.0,Yes
Yes,67.4,Yes
No internet service,19.7,Yes
No,80.35,Yes
No internet service,19.6,Yes
Yes,54.2,Yes
No,45.2,Yes
Yes,75.1,Yes
No internet service,19.7,Yes
Yes,72.75,Yes
No internet service,20.05,Yes
No,45.95,Yes
No,39.2,No
No,44.75,Yes
Yes,82.65,Yes
No,93.9,Yes
No,70.15,Yes
No,85.55,Yes
Yes,117.15,Yes
No,99.25,Yes
Yes,112.55,Yes
No internet service,25.7,Yes
Yes,90.3,Yes
No,49.4,Yes
No internet service,19.4,Yes
Yes,109.7,Yes
Yes,61.25,Yes
Yes,55.3,Yes
No,70.3,Yes
Yes,106.35,Yes
Yes,103.75,Yes
No internet service,19.5,Yes
Yes,39.5,No
No,26.05,No
No,91.05,Yes
Yes,29.65,No
Yes,50.2,Yes
Yes,105.3,Yes
No,55.45,Yes
No,85.45,Yes
No internet service,19.8,Yes
No,59.25,Yes
No,90.7,Yes
No,103.7,Yes
Yes,79.05,Yes
No,90.7,Yes
Yes,95.0,Yes
No,88.35,Yes
Yes,30.25,No
No,49.85,No
No,93.0,Yes
Yes,54.55,Yes
No internet service,19.7,Yes
Yes,84.8,Yes
Yes,94.45,Yes
No,94.2,Yes
Yes,96.25,Yes
No,70.7,Yes
No internet service,20.85,Yes
Yes,60.0,No
Yes,80.45,Yes
No,84.95,Yes
Yes,33.55,No
No,49.65,No
No internet service,20.2,Yes
No,94.55,Yes
No,100.5,Yes
Yes,35.75,No
Yes,86.45,Yes
No,53.8,Yes
No,38.55,No
No,39.9,No
No,70.05,Yes
No internet service,20.1,Yes
Yes,112.95,Yes
No internet service,20.3,Yes
Yes,35.65,No
No,35.9,No
No,99.25,Yes
Yes,82.95,Yes
No,55.65,Yes
No,24.45,No
No internet service,25.2,Yes
No,50.8,No
No internet service,19.65,Yes
No,59.8,Yes
No,73.55,Yes
Yes,61.4,Yes
No,103.35,Yes
No internet service,19.9,Yes
No internet service,19.45,Yes
No,81.5,Yes
No,84.8,Yes
Yes,109.55,Yes
Yes,99.95,Yes
No,74.4,Yes
Yes,90.0,Yes
No,74.9,Yes
Yes,104.85,Yes
No,59.65,Yes
No,110.45,Yes
Yes,106.1,Yes
No,74.2,Yes
No,74.45,Yes
No internet service,24.55,Yes
Yes,89.35,Yes
No internet service,24.55,Yes
Yes,90.65,Yes
No,105.05,Yes
No internet service,20.45,Yes
No internet service,19.55,Yes
No internet service,19.7,Yes
Yes,70.45,Yes
No,85.65,Yes
No,77.15,Yes
No,35.25,No
No internet service,20.55,Yes
No,97.95,Yes
Yes,48.55,No
No internet service,20.0,Yes
No internet service,25.25,Yes
Yes,98.4,Yes
Yes,70.9,Yes
No internet service,19.85,Yes
Yes,106.35,Yes
Yes,99.5,Yes
Yes,84.7,Yes
No,86.05,Yes
No,44.55,Yes
Yes,75.85,Yes
No,93.85,Yes
No internet service,25.0,Yes
No,45.0,Yes
Yes,100.7,Yes
No internet service,20.5,Yes
No,80.45,Yes
No,90.45,Yes
Yes,60.45,Yes
No,55.25,Yes
Yes,78.45,Yes
No,100.55,Yes
No internet service,20.35,Yes
No,54.45,No
Yes,90.75,Yes
No,75.35,Yes
No internet service,20.25,Yes
No internet service,20.05,Yes
No internet service,19.6,Yes
Yes,53.8,Yes
Yes,70.2,Yes
No,75.5,Yes
No internet service,20.35,Yes
No internet service,26.05,Yes
No internet service,20.6,Yes
No,75.7,Yes
