MonthlyCharges,Contract,PaymentMethod
74.6,Month-to-month,Bank transfer (automatic)
55.3,Month-to-month,Mailed check
89.55,One year,Electronic check
101.35,Month-to-month,Electronic check
70.25,Month-to-month,Bank transfer (automatic)
59.45,Month-to-month,Electronic check
49.15,Month-to-month,Electronic check
69.65,Month-to-month,Electronic check
64.65,Month-to-month,Bank transfer (automatic)
100.55,Month-to-month,Electronic check
106.35,Month-to-month,Electronic check
74.75,Month-to-month,Electronic check
74.9,Month-to-month,Electronic check
84.8,Month-to-month,Bank transfer (automatic)
76.4,Month-to-month,Electronic check
45.25,One year,Electronic check
100.95,One year,Electronic check
105.3,Month-to-month,Electronic check
49.05,Month-to-month,Bank transfer (automatic)
19.85,Month-to-month,Electronic check
70.15,Month-to-month,Mailed check
99.0,Month-to-month,Mailed check
105.95,One year,Mailed check
83.75,Month-to-month,Electronic check
44.85,Month-to-month,Credit card (automatic)
93.55,Month-to-month,Electronic check
28.6,Month-to-month,Credit card (automatic)
75.25,Month-to-month,Electronic check
45.35,Month-to-month,Electronic check
45.4,Month-to-month,Bank transfer (automatic)
55.0,Month-to-month,Electronic check
105.65,Month-to-month,Electronic check
96.2,Month-to-month,Credit card (automatic)
98.7,Month-to-month,Electronic check
48.55,Month-to-month,Electronic check
100.75,Month-to-month,Electronic check
100.6,Month-to-month,Electronic check
113.15,Two year,Electronic check
103.7,One year,Mailed check
70.15,Month-to-month,Mailed check
95.6,Month-to-month,Credit card (automatic)
90.0,Month-to-month,Credit card (automatic)
69.6,Month-to-month,Electronic check
90.4,One year,Electronic check
70.65,Month-to-month,Electronic check
84.3,Month-to-month,Electronic check
44.05,Month-to-month,Electronic check
80.3,Month-to-month,Mailed check
74.1,Month-to-month,Credit card (automatic)
105.65,One year,Electronic check
79.25,Month-to-month,Electronic check
86.1,Month-to-month,Electronic check
96.1,Month-to-month,Electronic check
71.0,Month-to-month,Electronic check
79.0,Month-to-month,Electronic check
75.75,Month-to-month,Electronic check
74.8,Two year,Bank transfer (automatic)
45.1,Month-to-month,Bank transfer (automatic)
104.3,Month-to-month,Bank transfer (automatic)
94.75,Month-to-month,Electronic check
19.4,Month-to-month,Bank transfer (automatic)
105.95,Month-to-month,Mailed check
45.0,Month-to-month,Mailed check
102.45,One year,Credit card (automatic)
19.75,Two year,Bank transfer (automatic)
58.5,Month-to-month,Mailed check
99.15,Month-to-month,Electronic check
103.95,Month-to-month,Electronic check
29.7,Month-to-month,Credit card (automatic)
70.55,Month-to-month,Bank transfer (automatic)
45.55,Month-to-month,Credit card (automatic)
74.25,Month-to-month,Credit card (automatic)
50.55,Month-to-month,Mailed check
74.65,Month-to-month,Electronic check
103.3,Month-to-month,Electronic check
83.6,Month-to-month,Electronic check
95.9,Month-to-month,Electronic check
102.95,Month-to-month,Credit card (automatic)
49.55,Month-to-month,Electronic check
74.05,Month-to-month,Bank transfer (automatic)
93.9,Two year,Bank transfer (automatic)
74.7,Month-to-month,Electronic check
92.5,Month-to-month,Electronic check
56.7,Month-to-month,Mailed check
70.1,Month-to-month,Electronic check
84.65,Month-to-month,Mailed check
56.5,Month-to-month,Mailed check
78.95,Month-to-month,Electronic check
83.8,Month-to-month,Mailed check
55.05,Month-to-month,Credit card (automatic)
103.75,One year,Electronic check
51.25,Month-to-month,Mailed check
100.55,Month-to-month,Electronic check
98.9,Month-to-month,Electronic check
98.3,Two year,Bank transfer (automatic)
44.9,Month-to-month,Bank transfer (automatic)
84.05,Month-to-month,Bank transfer (automatic)
79.55,Month-to-month,Electronic check
46.3,Month-to-month,Mailed check
108.4,Two year,Bank transfer (automatic)
35.75,Month-to-month,Electronic check
89.85,Month-to-month,Electronic check
33.55,One year,Mailed check
61.45,Month-to-month,Credit card (automatic)
95.45,Month-to-month,Electronic check
80.55,Month-to-month,Electronic check
50.4,Month-to-month,Mailed check
107.55,One year,Electronic check
90.1,One year,Bank transfer (automatic)
103.0,Month-to-month,Electronic check
78.3,Month-to-month,Electronic check
95.65,Month-to-month,Bank transfer (automatic)
95.0,Month-to-month,Electronic check
96.8,Month-to-month,Electronic check
88.95,Month-to-month,Electronic check
94.2,Month-to-month,Electronic check
55.1,Month-to-month,Mailed check
43.75,One year,Bank transfer (automatic)
70.1,One year,Bank transfer (automatic)
75.2,Month-to-month,Electronic check
106.75,Month-to-month,Bank transfer (automatic)
84.45,Month-to-month,Electronic check
48.75,Month-to-month,Bank transfer (automatic)
89.5,Month-to-month,Electronic check
48.8,Month-to-month,Credit card (automatic)
55.65,Month-to-month,Bank transfer (automatic)
59.5,Month-to-month,Mailed check
85.45,Month-to-month,Electronic check
70.4,Month-to-month,Electronic check
83.9,Month-to-month,Mailed check
98.1,Month-to-month,Electronic check
89.5,Month-to-month,Electronic check
69.95,Month-to-month,Electronic check
29.6,Month-to-month,Electronic check
25.05,Month-to-month,Mailed check
36.45,Month-to-month,Mailed check
80.85,Month-to-month,Electronic check
95.2,Month-to-month,Electronic check
70.1,Month-to-month,Mailed check
80.5,Month-to-month,Electronic check
76.45,Month-to-month,Electronic check
93.9,Month-to-month,Mailed check
69.65,Month-to-month,Electronic check
48.55,Month-to-month,Credit card (automatic)
89.35,Month-to-month,Electronic check
19.6,Month-to-month,Mailed check
103.4,Two year,Electronic check
19.3,One year,Credit card (automatic)
84.35,One year,Electronic check
50.15,Month-to-month,Electronic check
113.2,Month-to-month,Electronic check
84.55,Month-to-month,Electronic check
49.2,Month-to-month,Electronic check
86.3,Month-to-month,Electronic check
19.85,Month-to-month,Credit card (automatic)
93.8,One year,Electronic check
94.7,Month-to-month,Credit card (automatic)
50.4,Month-to-month,Bank transfer (automatic)
79.85,Month-to-month,Electronic check
84.4,Month-to-month,Credit card (automatic)
20.65,Month-to-month,Mailed check
94.7,Month-to-month,Electronic check
34.7,Month-to-month,Credit card (automatic)
69.95,Month-to-month,Electronic check
88.8,Month-to-month,Electronic check
89.3,Month-to-month,Electronic check
24.75,Month-to-month,Electronic check
49.25,Month-to-month,Electronic check
33.5,Month-to-month,Credit card (automatic)
99.15,Month-to-month,Mailed check
85.35,Month-to-month,Bank transfer (automatic)
80.05,Month-to-month,Mailed check
75.75,Month-to-month,Electronic check
95.05,Month-to-month,Electronic check
35.4,Month-to-month,Bank transfer (automatic)
98.05,Month-to-month,Bank transfer (automatic)
84.5,Month-to-month,Electronic check
90.2,Month-to-month,Credit card (automatic)
80.85,Month-to-month,Electronic check
99.95,Month-to-month,Electronic check
74.4,Month-to-month,Electronic check
94.45,Month-to-month,Electronic check
79.9,Month-to-month,Bank transfer (automatic)
84.45,Month-to-month,Electronic check
90.35,Month-to-month,Electronic check
53.85,Month-to-month,Mailed check
20.9,Month-to-month,Mailed check
96.2,Month-to-month,Electronic check
40.1,Month-to-month,Credit card (automatic)
69.95,Month-to-month,Bank transfer (automatic)
45.15,Month-to-month,Electronic check
75.5,Month-to-month,Electronic check
45.05,Month-to-month,Mailed check
99.45,Month-to-month,Credit card (automatic)
118.35,One year,Bank transfer (automatic)
89.9,Month-to-month,Electronic check
19.85,Month-to-month,Mailed check
101.35,Month-to-month,Electronic check
90.55,Month-to-month,Electronic check
30.5,Month-to-month,Bank transfer (automatic)
80.5,Month-to-month,Credit card (automatic)
106.0,Two year,Bank transfer (automatic)
99.45,Month-to-month,Electronic check
24.5,Two year,Mailed check
94.2,Month-to-month,Bank transfer (automatic)
49.95,Month-to-month,Bank transfer (automatic)
108.05,Two year,Electronic check
88.35,Month-to-month,Mailed check
76.5,Month-to-month,Electronic check
55.55,Month-to-month,Credit card (automatic)
20.05,Month-to-month,Mailed check
54.2,Two year,Electronic check
44.6,Month-to-month,Bank transfer (automatic)
73.9,One year,Mailed check
80.7,Month-to-month,Bank transfer (automatic)
104.8,Month-to-month,Electronic check
75.6,Month-to-month,Bank transfer (automatic)
69.5,One year,Bank transfer (automatic)
79.95,Month-to-month,Electronic check
44.85,One year,Credit card (automatic)
70.05,Month-to-month,Credit card (automatic)
85.8,Month-to-month,Credit card (automatic)
40.15,Month-to-month,Mailed check
100.55,Month-to-month,Electronic check
100.05,One year,Credit card (automatic)
93.3,Month-to-month,Electronic check
71.3,Month-to-month,Credit card (automatic)
53.95,One year,Mailed check
103.85,Month-to-month,Bank transfer (automatic)
94.45,Month-to-month,Credit card (automatic)
115.55,One year,Credit card (automatic)
99.05,Month-to-month,Bank transfer (automatic)
93.9,Month-to-month,Electronic check
69.7,Month-to-month,Bank transfer (automatic)
45.4,Month-to-month,Electronic check
41.15,Month-to-month,Electronic check
79.05,Month-to-month,Electronic check
74.5,Month-to-month,Electronic check
79.05,Month-to-month,Electronic check
75.35,Month-to-month,Credit card (automatic)
81.05,Month-to-month,Electronic check
75.15,Month-to-month,Credit card (automatic)
104.05,Month-to-month,Mailed check
40.2,Month-to-month,Bank transfer (automatic)
54.75,Month-to-month,Electronic check
28.45,Month-to-month,Electronic check
90.8,Month-to-month,Electronic check
101.0,Month-to-month,Electronic check
94.95,Month-to-month,Electronic check
79.6,Month-to-month,Electronic check
20.2,Month-to-month,Mailed check
70.75,Month-to-month,Electronic check
49.25,Month-to-month,Electronic check
86.05,Month-to-month,Bank transfer (automatic)
100.2,Month-to-month,Electronic check
20.6,Month-to-month,Mailed check
20.15,Month-to-month,Mailed check
99.8,Month-to-month,Electronic check
68.25,Month-to-month,Electronic check
48.35,Month-to-month,Electronic check
99.25,Month-to-month,Bank transfer (automatic)
50.5,Month-to-month,Electronic check
80.5,Month-to-month,Electronic check
106.95,One year,Credit card (automatic)
106.1,One year,Bank transfer (automatic)
54.15,One year,Credit card (automatic)
94.75,Month-to-month,Electronic check
104.7,One year,Bank transfer (automatic)
110.75,Month-to-month,Bank transfer (automatic)
109.55,Month-to-month,Electronic check
109.9,Month-to-month,Credit card (automatic)
74.95,Month-to-month,Bank transfer (automatic)
98.6,Month-to-month,Credit card (automatic)
80.8,Month-to-month,Electronic check
69.75,Month-to-month,Bank transfer (automatic)
101.1,Month-to-month,Electronic check
91.75,Month-to-month,Bank transfer (automatic)
20.2,Month-to-month,Mailed check
68.85,Month-to-month,Bank transfer (automatic)
89.65,Month-to-month,Mailed check
44.45,Month-to-month,Mailed check
19.55,Month-to-month,Mailed check
86.45,Month-to-month,Electronic check
73.9,Month-to-month,Electronic check
90.55,Month-to-month,Electronic check
84.6,Month-to-month,Credit card (automatic)
108.15,Month-to-month,Credit card (automatic)
79.15,Month-to-month,Electronic check
90.6,Month-to-month,Electronic check
96.55,One year,Credit card (automatic)
96.55,Month-to-month,Electronic check
100.15,Month-to-month,Bank transfer (automatic)
74.6,Month-to-month,Mailed check
44.75,Month-to-month,Electronic check
48.55,Month-to-month,Mailed check
100.05,Month-to-month,Credit card (automatic)
75.05,Month-to-month,Credit card (automatic)
80.3,Month-to-month,Credit card (automatic)
76.4,Month-to-month,Mailed check
99.75,Month-to-month,Electronic check
79.15,Month-to-month,Electronic check
83.85,Month-to-month,Credit card (automatic)
97.9,Month-to-month,Electronic check
91.85,Month-to-month,Electronic check
105.95,Month-to-month,Credit card (automatic)
74.35,Month-to-month,Electronic check
88.35,Month-to-month,Electronic check
55.15,Month-to-month,Electronic check
74.15,Month-to-month,Mailed check
104.75,Month-to-month,Bank transfer (automatic)
30.6,Month-to-month,Electronic check
23.15,Month-to-month,Credit card (automatic)
106.6,Two year,Electronic check
74.25,Month-to-month,Electronic check
89.95,Month-to-month,Electronic check
50.75,Month-to-month,Electronic check
55.35,Month-to-month,Electronic check
99.5,One year,Bank transfer (automatic)
20.25,Month-to-month,Bank transfer (automatic)
78.8,Month-to-month,Electronic check
98.5,Month-to-month,Electronic check
20.15,One year,Bank transfer (automatic)
80.55,Two year,Bank transfer (automatic)
79.9,Month-to-month,Electronic check
55.15,One year,Credit card (automatic)
89.7,Month-to-month,Electronic check
95.25,Month-to-month,Electronic check
80.45,Month-to-month,Electronic check
70.9,Month-to-month,Mailed check
88.95,Month-to-month,Electronic check
69.15,Month-to-month,Electronic check
30.45,Month-to-month,Electronic check
95.7,Month-to-month,Electronic check
39.3,Month-to-month,Electronic check
76.35,Month-to-month,Electronic check
46.0,Month-to-month,Mailed check
75.2,Month-to-month,Credit card (automatic)
49.05,Month-to-month,Credit card (automatic)
89.65,Month-to-month,Credit card (automatic)
94.9,Month-to-month,Electronic check
89.5,Month-to-month,Electronic check
84.1,Month-to-month,Electronic check
20.25,Month-to-month,Mailed check
24.75,Month-to-month,Electronic check
20.1,Month-to-month,Credit card (automatic)
78.55,Month-to-month,Electronic check
105.5,One year,Credit card (automatic)
19.5,Month-to-month,Mailed check
100.8,Month-to-month,Electronic check
61.65,Month-to-month,Mailed check
45.7,Month-to-month,Mailed check
94.0,Month-to-month,Electronic check
99.15,Month-to-month,Electronic check
66.4,Month-to-month,Bank transfer (automatic)
69.6,Month-to-month,Electronic check
50.15,Month-to-month,Credit card (automatic)
84.0,Month-to-month,Electronic check
75.35,Month-to-month,Electronic check
74.9,Month-to-month,Electronic check
104.4,Month-to-month,Electronic check
94.55,Month-to-month,Credit card (automatic)
85.65,Month-to-month,Electronic check
19.65,Month-to-month,Electronic check
83.3,Month-to-month,Electronic check
34.25,Month-to-month,Mailed check
45.95,Month-to-month,Mailed check
97.35,Month-to-month,Bank transfer (automatic)
79.3,Month-to-month,Electronic check
108.65,Two year,Bank transfer (automatic)
78.95,Month-to-month,Electronic check
74.9,Month-to-month,Bank transfer (automatic)
65.3,Two year,Credit card (automatic)
44.55,Month-to-month,Electronic check
30.75,Month-to-month,Credit card (automatic)
87.05,Month-to-month,Electronic check
79.5,Month-to-month,Bank transfer (automatic)
68.5,Month-to-month,Electronic check
76.45,Month-to-month,Bank transfer (automatic)
103.45,One year,Electronic check
95.25,Month-to-month,Bank transfer (automatic)
71.15,Month-to-month,Electronic check
51.55,Month-to-month,Electronic check
84.85,Month-to-month,Mailed check
35.15,Month-to-month,Electronic check
73.55,Month-to-month,Bank transfer (automatic)
49.4,Month-to-month,Electronic check
94.0,Month-to-month,Electronic check
74.55,Month-to-month,Electronic check
54.85,Month-to-month,Mailed check
33.65,Month-to-month,Electronic check
100.1,Month-to-month,Electronic check
89.3,Month-to-month,Electronic check
85.4,Month-to-month,Electronic check
74.95,Month-to-month,Electronic check
75.35,Month-to-month,Electronic check
86.6,Month-to-month,Electronic check
50.8,Month-to-month,Electronic check
69.4,Month-to-month,Mailed check
85.7,Month-to-month,Electronic check
55.0,Month-to-month,Credit card (automatic)
93.5,Month-to-month,Electronic check
44.15,Month-to-month,Electronic check
84.4,Month-to-month,Electronic check
91.85,Month-to-month,Bank transfer (automatic)
49.25,Month-to-month,Credit card (automatic)
79.85,Month-to-month,Bank transfer (automatic)
56.25,Month-to-month,Electronic check
45.65,Month-to-month,Mailed check
88.7,Month-to-month,Electronic check
64.75,Month-to-month,Electronic check
71.0,Month-to-month,Electronic check
45.6,Month-to-month,Electronic check
48.95,Month-to-month,Electronic check
94.2,Month-to-month,Electronic check
19.9,Month-to-month,Mailed check
85.0,Month-to-month,Electronic check
80.5,Month-to-month,Bank transfer (automatic)
55.0,Month-to-month,Credit card (automatic)
44.65,Month-to-month,Mailed check
83.0,One year,Electronic check
98.5,Month-to-month,Electronic check
94.4,Month-to-month,Bank transfer (automatic)
79.55,Month-to-month,Mailed check
95.0,Month-to-month,Mailed check
54.45,Month-to-month,Electronic check
72.85,Month-to-month,Electronic check
93.85,Month-to-month,Bank transfer (automatic)
70.45,Month-to-month,Mailed check
61.15,Month-to-month,Mailed check
84.2,Month-to-month,Electronic check
70.5,Month-to-month,Electronic check
84.45,Month-to-month,Electronic check
85.2,Month-to-month,Electronic check
20.25,Month-to-month,Mailed check
79.4,Month-to-month,Electronic check
101.3,Month-to-month,Electronic check
106.1,One year,Credit card (automatic)
55.4,Month-to-month,Electronic check
84.85,Month-to-month,Electronic check
80.15,Month-to-month,Electronic check
53.9,Month-to-month,Mailed check
74.55,Month-to-month,Electronic check
50.35,Month-to-month,Electronic check
35.55,Month-to-month,Electronic check
74.5,Month-to-month,Electronic check
81.0,Month-to-month,Credit card (automatic)
77.85,Month-to-month,Electronic check
48.7,Month-to-month,Electronic check
94.45,Month-to-month,Electronic check
20.95,Month-to-month,Bank transfer (automatic)
45.3,Month-to-month,Electronic check
79.45,One year,Mailed check
101.45,Month-to-month,Electronic check
70.0,Month-to-month,Electronic check
93.7,Month-to-month,Electronic check
76.5,Month-to-month,Electronic check
85.2,Month-to-month,Bank transfer (automatic)
102.6,One year,Electronic check
98.8,Month-to-month,Electronic check
88.35,Month-to-month,Electronic check
51.8,One year,Bank transfer (automatic)
58.6,Month-to-month,Credit card (automatic)
19.8,One year,Bank transfer (automatic)
82.05,One year,Mailed check
94.4,Month-to-month,Electronic check
79.75,Month-to-month,Bank transfer (automatic)
74.3,One year,Mailed check
79.65,Month-to-month,Mailed check
55.95,One year,Electronic check
69.65,Month-to-month,Electronic check
79.4,Month-to-month,Electronic check
74.2,Month-to-month,Electronic check
96.6,Month-to-month,Electronic check
24.8,Month-to-month,Bank transfer (automatic)
110.0,Two year,Bank transfer (automatic)
90.7,Month-to-month,Credit card (automatic)
73.65,Month-to-month,Electronic check
79.65,Month-to-month,Mailed check
104.05,One year,Electronic check
89.15,Month-to-month,Electronic check
94.55,Month-to-month,Mailed check
69.55,Month-to-month,Mailed check
24.25,Month-to-month,Mailed check
62.3,One year,Mailed check
90.95,One year,Electronic check
79.8,Month-to-month,Electronic check
99.45,Month-to-month,Electronic check
80.0,Month-to-month,Electronic check
94.85,One year,Bank transfer (automatic)
80.1,Month-to-month,Credit card (automatic)
75.55,Month-to-month,Electronic check
74.95,Month-to-month,Electronic check
100.45,Month-to-month,Credit card (automatic)
98.7,Month-to-month,Electronic check
104.25,Month-to-month,Electronic check
45.3,Month-to-month,Bank transfer (automatic)
70.65,Month-to-month,Mailed check
81.3,Month-to-month,Electronic check
71.1,Month-to-month,Mailed check
85.25,Month-to-month,Electronic check
69.75,Month-to-month,Electronic check
104.2,Month-to-month,Electronic check
84.95,Month-to-month,Electronic check
80.3,Month-to-month,Electronic check
95.1,Month-to-month,Electronic check
84.4,Month-to-month,Bank transfer (automatic)
19.9,Month-to-month,Electronic check
96.75,Month-to-month,Electronic check
84.05,One year,Electronic check
29.95,Month-to-month,Electronic check
93.8,Month-to-month,Electronic check
74.15,Month-to-month,Credit card (automatic)
86.0,Month-to-month,Electronic check
95.15,Month-to-month,Electronic check
106.55,One year,Bank transfer (automatic)
69.0,Month-to-month,Electronic check
96.05,Month-to-month,Electronic check
96.65,Month-to-month,Electronic check
74.5,Month-to-month,Electronic check
101.55,Month-to-month,Bank transfer (automatic)
86.3,Month-to-month,Mailed check
85.1,Month-to-month,Electronic check
106.15,Month-to-month,Electronic check
71.65,Month-to-month,Electronic check
96.15,Month-to-month,Electronic check
94.5,Month-to-month,Electronic check
70.95,Month-to-month,Electronic check
74.4,Month-to-month,Electronic check
51.0,Month-to-month,Mailed check
106.7,Month-to-month,Electronic check
74.4,Month-to-month,Electronic check
104.2,Month-to-month,Electronic check
104.05,Month-to-month,Bank transfer (automatic)
98.35,Month-to-month,Electronic check
99.3,Month-to-month,Credit card (automatic)
96.5,Month-to-month,Bank transfer (automatic)
90.8,Month-to-month,Bank transfer (automatic)
67.95,Month-to-month,Bank transfer (automatic)
104.85,Month-to-month,Electronic check
36.85,Month-to-month,Mailed check
89.7,Month-to-month,Bank transfer (automatic)
111.25,One year,Credit card (automatic)
85.35,Month-to-month,Electronic check
60.05,Month-to-month,Electronic check
79.65,Month-to-month,Bank transfer (automatic)
34.0,Month-to-month,Bank transfer (automatic)
70.75,Month-to-month,Credit card (automatic)
67.75,Month-to-month,Electronic check
84.7,Month-to-month,Mailed check
68.65,Month-to-month,Bank transfer (automatic)
83.55,Month-to-month,Credit card (automatic)
117.8,One year,Bank transfer (automatic)
44.35,Month-to-month,Electronic check
50.8,Month-to-month,Bank transfer (automatic)
60.05,Month-to-month,Bank transfer (automatic)
75.45,Month-to-month,Mailed check
69.7,Month-to-month,Electronic check
83.15,Month-to-month,Credit card (automatic)
65.7,Month-to-month,Mailed check
75.8,One year,Bank transfer (automatic)
33.9,Month-to-month,Mailed check
20.5,Month-to-month,Mailed check
99.75,Month-to-month,Bank transfer (automatic)
25.05,Month-to-month,Electronic check
50.6,Month-to-month,Electronic check
89.15,Month-to-month,Mailed check
44.35,Month-to-month,Bank transfer (automatic)
54.35,Month-to-month,Electronic check
78.85,Month-to-month,Electronic check
83.75,Month-to-month,Bank transfer (automatic)
79.9,Month-to-month,Credit card (automatic)
112.95,Month-to-month,Mailed check
74.35,Month-to-month,Electronic check
24.1,One year,Bank transfer (automatic)
50.75,Month-to-month,Electronic check
70.75,Month-to-month,Mailed check
90.85,Month-to-month,Credit card (automatic)
50.45,Month-to-month,Electronic check
80.5,Month-to-month,Electronic check
85.85,Month-to-month,Electronic check
98.5,Month-to-month,Electronic check
103.95,One year,Bank transfer (automatic)
81.45,Month-to-month,Electronic check
80.85,Month-to-month,Electronic check
99.8,Month-to-month,Credit card (automatic)
44.4,Month-to-month,Electronic check
20.55,Month-to-month,Electronic check
103.25,One year,Bank transfer (automatic)
84.8,Month-to-month,Credit card (automatic)
73.0,One year,Electronic check
80.4,Month-to-month,Electronic check
74.05,One year,Mailed check
110.85,One year,Credit card (automatic)
74.4,Month-to-month,Credit card (automatic)
84.45,Month-to-month,Electronic check
55.7,Month-to-month,Mailed check
82.3,Month-to-month,Electronic check
95.35,Month-to-month,Electronic check
29.65,Month-to-month,Electronic check
100.25,Month-to-month,Electronic check
102.0,One year,Electronic check
49.65,Month-to-month,Mailed check
74.4,Month-to-month,Electronic check
75.05,Month-to-month,Mailed check
23.45,Month-to-month,Electronic check
82.35,Month-to-month,Electronic check
85.2,Month-to-month,Credit card (automatic)
93.85,Month-to-month,Electronic check
73.25,Month-to-month,Credit card (automatic)
95.65,Month-to-month,Mailed check
71.05,Month-to-month,Electronic check
25.25,Month-to-month,Electronic check
80.65,Month-to-month,Electronic check
74.3,Month-to-month,Credit card (automatic)
88.45,Month-to-month,Electronic check
102.8,Month-to-month,Electronic check
97.8,Month-to-month,Electronic check
79.15,Month-to-month,Electronic check
60.3,One year,Credit card (automatic)
91.1,Month-to-month,Electronic check
65.45,Month-to-month,Electronic check
69.1,Month-to-month,Electronic check
80.0,Month-to-month,Credit card (automatic)
45.3,Month-to-month,Electronic check
86.2,Month-to-month,Mailed check
73.85,Month-to-month,Electronic check
103.35,Month-to-month,Bank transfer (automatic)
45.3,Month-to-month,Mailed check
108.45,One year,Electronic check
47.8,Month-to-month,Electronic check
25.8,Month-to-month,Mailed check
41.9,Month-to-month,Electronic check
75.85,Month-to-month,Electronic check
45.05,Month-to-month,Electronic check
89.95,Month-to-month,Electronic check
80.85,Month-to-month,Electronic check
78.95,Month-to-month,Credit card (automatic)
95.0,Month-to-month,Electronic check
75.3,Month-to-month,Credit card (automatic)
75.5,Month-to-month,Electronic check
73.75,Month-to-month,Electronic check
25.3,Month-to-month,Electronic check
53.55,Month-to-month,Mailed check
84.85,Month-to-month,Electronic check
85.0,Month-to-month,Electronic check
98.75,Month-to-month,Electronic check
75.0,Month-to-month,Electronic check
97.1,Month-to-month,Bank transfer (automatic)
59.0,Month-to-month,Electronic check
97.95,Month-to-month,Electronic check
89.9,Month-to-month,Electronic check
78.05,Month-to-month,Electronic check
86.8,Month-to-month,Electronic check
94.1,Month-to-month,Electronic check
106.4,Month-to-month,Electronic check
74.4,Month-to-month,Electronic check
79.5,Month-to-month,Electronic check
103.9,Month-to-month,Electronic check
74.75,Month-to-month,Credit card (automatic)
75.45,Month-to-month,Electronic check
105.55,Month-to-month,Electronic check
20.0,Month-to-month,Bank transfer (automatic)
19.25,Month-to-month,Electronic check
44.4,Month-to-month,Mailed check
96.8,Month-to-month,Bank transfer (automatic)
83.35,Month-to-month,Bank transfer (automatic)
74.2,Month-to-month,Credit card (automatic)
101.35,Month-to-month,Bank transfer (automatic)
89.4,Month-to-month,Electronic check
44.7,Month-to-month,Electronic check
87.4,One year,Electronic check
51.05,Month-to-month,Electronic check
25.4,Month-to-month,Credit card (automatic)
80.1,Month-to-month,Bank transfer (automatic)
84.15,Month-to-month,Bank transfer (automatic)
73.85,Month-to-month,Electronic check
20.0,Month-to-month,Mailed check
19.95,Month-to-month,Mailed check
87.45,Month-to-month,Electronic check
104.4,Month-to-month,Bank transfer (automatic)
81.1,Month-to-month,Electronic check
74.65,Month-to-month,Electronic check
79.7,Month-to-month,Electronic check
70.8,Month-to-month,Mailed check
55.95,Month-to-month,Electronic check
94.5,Month-to-month,Credit card (automatic)
70.0,Month-to-month,Electronic check
83.8,Month-to-month,Electronic check
81.0,Month-to-month,Electronic check
104.65,One year,Electronic check
78.45,Month-to-month,Electronic check
19.35,Month-to-month,Mailed check
75.1,Month-to-month,Credit card (automatic)
104.6,Two year,Electronic check
71.35,Month-to-month,Electronic check
75.7,Month-to-month,Electronic check
50.1,Month-to-month,Mailed check
66.35,Month-to-month,Electronic check
24.8,Month-to-month,Electronic check
65.2,Month-to-month,Credit card (automatic)
79.0,Month-to-month,Electronic check
18.95,Month-to-month,Mailed check
109.15,Month-to-month,Electronic check
43.95,Month-to-month,Mailed check
79.2,Month-to-month,Credit card (automatic)
90.6,Month-to-month,Electronic check
110.9,One year,Credit card (automatic)
93.55,Month-to-month,Bank transfer (automatic)
45.7,Month-to-month,Electronic check
76.0,Month-to-month,Mailed check
95.5,Month-to-month,Electronic check
49.85,Month-to-month,Electronic check
86.2,Month-to-month,Electronic check
35.05,Month-to-month,Mailed check
99.2,One year,Electronic check
99.25,Month-to-month,Electronic check
